Location_Code,Classification,Filled,Unfilled,Total_Jobs,Filled_Percentage,Unfilled_Percentage
Q600,PARAPROFESSIONAL,13,0,13,100,0
Q610,FEMALE PARA,21,0,21,100,0
Q620,PARAPROFESSIONAL,0,1,1,0,100
Q670,PARAPROFESSIONAL,37,2,39,94.87,5.13
Q680,PARAPROFESSIONAL,51,1,52,98.08,1.92
Q686,PARAPROFESSIONAL,21,0,21,100,0
Q687,PARAPROFESSIONAL,21,0,21,100,0
Q690,PARAPROFESSIONAL,52,0,52,100,0
Q721,PARAPROFESSIONAL,633,137,770,82.21,17.79
Q721,SPANISH SPEAKING PARA,42,0,42,100,0
Q721,JAPANESE SPEAKING PARA,0,16,16,0,100
Q721,BURMESE SPEAKING PARA,0,4,4,0,100
Q752,PARAPROFESSIONAL,743,171,914,81.29,18.71
Q752,MALE PARA,42,1,43,97.67,2.33
Q752,BENGALI SPEAKING PARA,21,0,21,100,0
Q752,SPANISH SPEAKING PARA,9,12,21,42.86,57.14
Q752,FEMALE BENGALI SPEAKING PARA,0,10,10,0,100
Q811,PARAPROFESSIONAL,1640,213,1853,88.51,11.49
Q811,MALE PARA,12,11,23,52.17,47.83
Q811,HAITIAN-CREOLE SPEAKING PARA,21,0,21,100,0
Q896,PARAPROFESSIONAL,21,0,21,100,0
Q952,PARAPROFESSIONAL,106,43,149,71.14,28.86
Q952,LYFE PARA - Work with INFANTS and TODDLERS,48,81,129,37.21,62.79
Q993,PARAPROFESSIONAL,949,247,1196,79.35,20.65
Q993,MANDARIN SPEAKING PARA,7,35,42,16.67,83.33
Q993,FEMALE MANDARIN SPEAKING PARA,21,0,21,100,0
QP24,PARAPROFESSIONAL,732,98,830,88.19,11.81
QP25,PARAPROFESSIONAL,149,19,168,88.69,11.31
QP27,FEMALE PARA,496,25,521,95.2,4.8
QP27,MALE PARA,38,0,38,100,0
QP28,FEMALE PARA,42,1,43,97.67,2.33
QP28,PARAPROFESSIONAL,7,6,13,53.85,46.15
QP29,PARAPROFESSIONAL,228,14,242,94.21,5.79
QP30,PARAPROFESSIONAL,54,3,57,94.74,5.26
R001,PARAPROFESSIONAL,67,0,67,100,0
R002,PARAPROFESSIONAL,136,82,218,62.39,37.61
R002,MANDARIN SPEAKING PARA,0,1,1,0,100
R002,SPANISH SPEAKING PARA,0,1,1,0,100
R003,FEMALE PARA,224,0,224,100,0
R003,MANDARIN SPEAKING PARA,33,0,33,100,0
R003,PARAPROFESSIONAL,22,0,22,100,0
R004,PARAPROFESSIONAL,129,13,142,90.85,9.15
R005,PARAPROFESSIONAL,67,0,67,100,0
R006,PARAPROFESSIONAL,171,9,180,95,5
R007,PARAPROFESSIONAL,68,0,68,100,0
R008,PARAPROFESSIONAL,108,6,114,94.74,5.26
R008,FEMALE PARA,21,0,21,100,0
R009,PARAPROFESSIONAL,79,8,87,90.8,9.2
R010,PARAPROFESSIONAL,21,5,26,80.77,19.23
R011,PARAPROFESSIONAL,109,12,121,90.08,9.92
R011,FEMALE PARA,2,0,2,100,0
